date,documents,total_tokens,expression,colonne_flourish,regex,occurrences,freq_ppm
1882,2,246872,maladie de Parkinson,maladie_de_parkinson,Maladie(s)?( de)? Parkinson,2,8.101364
1882,2,246872,maladie de Gilles de la Tourette,maladie_de_gilles_de_la_tourette,Maladie(s)?( de)?( Gilles de la)? Tourette,0,0.0
1882,2,246872,méthode anatomo-clinique,methode_anatomo_clinique,Méthode(s)? anatomo-clinique(s)?,0,0.0
1882,2,246872,migraine ophtalmique,migraine_ophtalmique,Migraine(s)? ophtalmique(s)?,1,4.050682
1882,2,246872,pachyméningite cervicale hypertrophique,pachymeningite_cervicale_hypertrophique,Pachym[eé]ningite(s)? cervicale(s)? hypertrophique(s)?,0,0.0
1882,2,246872,paralysie agitante,paralysie_agitante,Paralysi[es] agitan(te|s),6,24.304093
1882,2,246872,sclérose en plaques disséminées,sclerose_en_plaques_disseminees,Sclérose(s)? en plaque(s)? disséminées(s)?,0,0.0
1882,2,246872,sclérose latérale amyotrophique,sclerose_laterale_amyotrophique,Sclérose(s)? latérale(s)? amyotrophique(s)?,0,0.0
1882,2,246872,syndrome de Parkinson,syndrome_de_parkinson,Syndrome(s)?( de)? Parkinson,0,0.0
1882,2,246872,syndrome de Gilles de la Tourette,syndrome_de_gilles_de_la_tourette,Syndrome(s)?( de)?( Gilles de la)? Tourette,0,0.0
1882,2,246872,systématisation de la moelle,systematisation_de_la_moelle,"Syst[ée]matisation(?:\s+[\wÀ-ÖØ-öø-ÿ'-]+){0,10}\s+mo[ëeèê]lle",0,0.0
1882,2,246872,tabès dorsalis,tabes_dorsalis,Tab[eè]s dorsal(is)?,9,36.456139
1882,2,246872,tabès dorsalis spasmodique,tabes_dorsalis_spasmodique,Tab[eè]s dorsal(is)? spasmodique(s)?,1,4.050682
1882,2,246872,thrombose de l'artère cérébrale postérieure,thrombose_de_l_artere_cerebrale_posterieure,"Thrombose\s+(?:de\s+l[’']?art(?:e|è)re\s+c(?:é|e)rébrale(?:\s+post(?:é|e)rieure)?|de\s+la\s+c(?:é|e)rébrale\s+post(?:é|e)rieure|(?:[\wÀ-ÖØ-öø-ÿ]+(?:[-’'][\wÀ-ÖØ-öø-ÿ]+)?\s+){1,6}de\s+l[’']?art(?:e|è)re\s+c(?:é|e)rébrale\s+post(?:é|e)rieure)",0,0.0
1882,2,246872,tic convulsif,tic_convulsif,Tic(s)? convulsif(s)?,0,0.0
1882,2,246872,tremblement,tremblement,Tremblement(s)?,33,133.67251
1883,2,295131,épilepsie,epilepsie,[EÉ]pilepsie(s)?,139,470.977295
1883,2,295131,anévrisme miliaire,anevrisme_miliaire,An[ée]vr[yi]sme(s)? miliaire(s)?,1,3.388326
1883,2,295131,aphasie,aphasie,Aphasie(s)?,30,101.649776
1883,2,295131,arthropathie tabétique,arthropathie_tabetique,Arthropathie(s)? tabétique(s)?,1,3.388326
1883,2,295131,astasie-abasie,astasie_abasie,Astasie(s)?-abasie(s)?,0,0.0
1883,2,295131,ataxie locomotrice progressive,ataxie_locomotrice_progressive,Ataxie(s)? locomotrice(s)? progressive(s)?,5,16.941629
1883,2,295131,athétose,athetose,Athétose(s)?,5,16.941629
1883,2,295131,atrophie musculaire progressive,atrophie_musculaire_progressive,Atrophie(s)? musculaire(s)? progressive(s)?,3,10.164978
1883,2,295131,bulbe rachidien,bulbe_rachidien,Bulbe(s)? rachidien(s)?,0,0.0
1883,2,295131,chorée,choree,Chorée(s)?,10,33.883259
1883,2,295131,clonus,clonus,Clonus,0,0.0
1883,2,295131,coupe verticale,coupe_verticale,Coupe(s)? verticale(s)?,4,13.553303
1883,2,295131,fugue,fugue,Fugue(s)?,3,10.164978
1883,2,295131,glossy skin,glossy_skin,Glossy skin(s)?,0,0.0
1883,2,295131,hypnose,hypnose,Hypnose(s)?,1,3.388326
1883,2,295131,hystérie,hysterie,Hystérie(s)?,81,274.454395
1883,2,295131,localisation cérébrale,localisation_cerebrale,Localisation(s)? cérébrale(s)?,7,23.718281
1883,2,295131,maladie de Parkinson,maladie_de_parkinson,Maladie(s)?( de)? Parkinson,1,3.388326
1883,2,295131,maladie de Gilles de la Tourette,maladie_de_gilles_de_la_tourette,Maladie(s)?( de)?( Gilles de la)? Tourette,0,0.0
1883,2,295131,méthode anatomo-clinique,methode_anatomo_clinique,Méthode(s)? anatomo-clinique(s)?,0,0.0
1883,2,295131,migraine ophtalmique,migraine_ophtalmique,Migraine(s)? ophtalmique(s)?,1,3.388326
1883,2,295131,pachyméningite cervicale hypertrophique,pachymeningite_cervicale_hypertrophique,Pachym[eé]ningite(s)? cervicale(s)? hypertrophique(s)?,0,0.0
1883,2,295131,paralysie agitante,paralysie_agitante,Paralysi[es] agitan(te|s),4,13.553303
1883,2,295131,sclérose en plaques disséminées,sclerose_en_plaques_disseminees,Sclérose(s)? en plaque(s)? disséminées(s)?,1,3.388326
1883,2,295131,sclérose latérale amyotrophique,sclerose_laterale_amyotrophique,Sclérose(s)? latérale(s)? amyotrophique(s)?,7,23.718281
1883,2,295131,syndrome de Parkinson,syndrome_de_parkinson,Syndrome(s)?( de)? Parkinson,0,0.0
1883,2,295131,syndrome de Gilles de la Tourette,syndrome_de_gilles_de_la_tourette,Syndrome(s)?( de)?( Gilles de la)? Tourette,0,0.0
1883,2,295131,systématisation de la moelle,systematisation_de_la_moelle,"Syst[ée]matisation(?:\s+[\wÀ-ÖØ-öø-ÿ'-]+){0,10}\s+mo[ëeèê]lle",1,3.388326
1883,2,295131,tabès dorsalis,tabes_dorsalis,Tab[eè]s dorsal(is)?,7,23.718281
