date,documents,total_tokens,expression,colonne_flourish,regex,occurrences,freq_ppm
1882,1,52609,maladie de Gilles de la Tourette,maladie_de_gilles_de_la_tourette,Maladie(s)?( de)?( Gilles de la)? Tourette,0,0.0
1882,1,52609,méthode anatomo-clinique,methode_anatomo_clinique,Méthode(s)? anatomo-clinique(s)?,0,0.0
1882,1,52609,migraine ophtalmique,migraine_ophtalmique,Migraine(s)? ophtalmique(s)?,0,0.0
1882,1,52609,pachyméningite cervicale hypertrophique,pachymeningite_cervicale_hypertrophique,Pachym[eé]ningite(s)? cervicale(s)? hypertrophique(s)?,0,0.0
1882,1,52609,paralysie agitante,paralysie_agitante,Paralysi[es] agitan(te|s),0,0.0
1882,1,52609,sclérose en plaques disséminées,sclerose_en_plaques_disseminees,Sclérose(s)? en plaque(s)? disséminées(s)?,0,0.0
1882,1,52609,sclérose latérale amyotrophique,sclerose_laterale_amyotrophique,Sclérose(s)? latérale(s)? amyotrophique(s)?,0,0.0
1882,1,52609,syndrome de Parkinson,syndrome_de_parkinson,Syndrome(s)?( de)? Parkinson,0,0.0
1882,1,52609,syndrome de Gilles de la Tourette,syndrome_de_gilles_de_la_tourette,Syndrome(s)?( de)?( Gilles de la)? Tourette,0,0.0
1882,1,52609,systématisation de la moelle,systematisation_de_la_moelle,"Syst[ée]matisation(?:\s+[\wÀ-ÖØ-öø-ÿ'-]+){0,10}\s+mo[ëeèê]lle",0,0.0
1882,1,52609,tabès dorsalis,tabes_dorsalis,Tab[eè]s dorsal(is)?,0,0.0
1882,1,52609,tabès dorsalis spasmodique,tabes_dorsalis_spasmodique,Tab[eè]s dorsal(is)? spasmodique(s)?,0,0.0
1882,1,52609,thrombose de l'artère cérébrale postérieure,thrombose_de_l_artere_cerebrale_posterieure,"Thrombose\s+(?:de\s+l[’']?art(?:e|è)re\s+c(?:é|e)rébrale(?:\s+post(?:é|e)rieure)?|de\s+la\s+c(?:é|e)rébrale\s+post(?:é|e)rieure|(?:[\wÀ-ÖØ-öø-ÿ]+(?:[-’'][\wÀ-ÖØ-öø-ÿ]+)?\s+){1,6}de\s+l[’']?art(?:e|è)re\s+c(?:é|e)rébrale\s+post(?:é|e)rieure)",0,0.0
1882,1,52609,tic convulsif,tic_convulsif,Tic(s)? convulsif(s)?,0,0.0
1882,1,52609,tremblement,tremblement,Tremblement(s)?,5,95.040772
1883,1,34550,épilepsie,epilepsie,[EÉ]pilepsie(s)?,100,2894.356006
1883,1,34550,anévrisme miliaire,anevrisme_miliaire,An[ée]vr[yi]sme(s)? miliaire(s)?,0,0.0
1883,1,34550,aphasie,aphasie,Aphasie(s)?,0,0.0
1883,1,34550,arthropathie tabétique,arthropathie_tabetique,Arthropathie(s)? tabétique(s)?,0,0.0
1883,1,34550,astasie-abasie,astasie_abasie,Astasie(s)?-abasie(s)?,0,0.0
1883,1,34550,ataxie locomotrice progressive,ataxie_locomotrice_progressive,Ataxie(s)? locomotrice(s)? progressive(s)?,0,0.0
1883,1,34550,athétose,athetose,Athétose(s)?,0,0.0
1883,1,34550,atrophie musculaire progressive,atrophie_musculaire_progressive,Atrophie(s)? musculaire(s)? progressive(s)?,0,0.0
1883,1,34550,bulbe rachidien,bulbe_rachidien,Bulbe(s)? rachidien(s)?,0,0.0
1883,1,34550,chorée,choree,Chorée(s)?,0,0.0
1883,1,34550,clonus,clonus,Clonus,0,0.0
1883,1,34550,coupe verticale,coupe_verticale,Coupe(s)? verticale(s)?,0,0.0
1883,1,34550,fugue,fugue,Fugue(s)?,0,0.0
1883,1,34550,glossy skin,glossy_skin,Glossy skin(s)?,0,0.0
1883,1,34550,hypnose,hypnose,Hypnose(s)?,0,0.0
